grid_id,grid_x,grid_y,year,week,week_of_season,fire_count_raw,fire_count_weighted,fire_count_filtered,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fires_last_week,neighbor_fires_last_year,avg_frp,avg_brightness,night_fire_pct,avg_confidence
5_9,5,9,2020,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2020,42,3,0.0,0.0,0.0,0.0,1.35,0.8250000000000001,0.0,9.52,,,,
5_9,5,9,2020,43,4,6.0,3.5999999999999996,6.0,0.0,6.6,5.74,7.16,53.68000000000001,9.248333333333333,341.59666666666664,0.0,60.0
5_9,5,9,2020,44,5,18.0,11.459999999999999,16.0,3.5999999999999996,5.77,12.865,31.649999999999995,85.6,5.879444444444444,338.6644444444444,0.0,63.666666666666664
5_9,5,9,2020,45,6,38.0,24.08,34.0,11.459999999999999,14.37,26.669999999999998,86.92,71.92,12.239473684210527,334.9871052631579,0.0,63.36842105263158
5_9,5,9,2020,46,7,42.0,25.64,38.0,24.08,0.0,9.045,147.25,2.4,11.949523809523809,335.2728571428571,0.0,61.04761904761905
5_9,5,9,2020,47,8,31.0,19.4,29.0,25.64,19.79,11.415,151.38,88.08999999999999,9.83,335.34612903225803,0.0,62.58064516129032
5_9,5,9,2020,48,9,12.0,8.4,12.0,19.4,3.56,1.78,92.58,12.86,8.639166666666666,338.145,0.0,70.0
5_9,5,9,2021,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2021,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2021,42,3,0.0,0.0,0.0,0.0,0.0,0.55,1.2,7.16,,,,
5_9,5,9,2021,43,4,2.0,1.8,2.0,0.0,3.5999999999999996,5.026666666666666,15.7,31.649999999999995,11.135,367.0,0.0,90.0
5_9,5,9,2021,44,5,29.0,18.83,29.0,1.8,11.459999999999999,12.396666666666667,68.49,86.92,8.37896551724138,338.5644827586207,0.0,64.93103448275862
5_9,5,9,2021,45,6,50.0,30.83,45.0,18.83,24.08,25.80666666666666,198.03999999999996,147.25,14.411,334.8068,0.0,61.66
5_9,5,9,2021,46,7,53.0,33.699999999999996,52.0,30.83,25.64,14.576666666666668,240.43,151.38,10.875849056603773,339.2901886792453,0.0,63.58490566037736
5_9,5,9,2021,47,8,10.0,5.859999999999999,9.0,33.699999999999996,19.4,14.076666666666666,139.79999999999998,92.58,11.175,335.752,0.0,58.6
5_9,5,9,2021,48,9,0.0,0.0,0.0,5.859999999999999,8.4,3.986666666666667,10.209999999999999,14.61,,,,
5_9,5,9,2022,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2022,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,
5_9,5,9,2022,42,3,0.0,0.0,0.0,0.0,0.0,0.45,0.0,15.7,,,,
5_9,5,9,2022,43,4,0.0,0.0,0.0,0.0,1.8,4.0,0.6,68.49,,,,
5_9,5,9,2022,44,5,10.0,6.6,10.0,0.0,18.83,12.019999999999998,30.779999999999994,198.03999999999996,11.176,343.17600000000004,0.0,66.0
5_9,5,9,2022,45,6,43.0,24.64,38.0,6.6,30.83,23.093333333333334,87.47,240.43,10.254883720930232,334.69627906976746,0.0,57.30232558139535
5_9,5,9,2022,46,7,40.0,26.84,38.0,24.64,33.699999999999996,19.779999999999998,134.22,139.79999999999998,9.722,346.42400000000004,0.0,67.1
5_9,5,9,2022,47,8,24.0,13.74,21.0,26.84,5.859999999999999,15.016666666666666,106.75,10.209999999999999,7.888333333333333,335.09250000000003,0.0,57.25
5_9,5,9,2022,48,9,0.0,0.0,0.0,13.74,0.0,3.986666666666667,52.61,0.6,,,,
5_9,5,9,2023,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2023,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2023,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,
5_9,5,9,2023,43,4,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,30.779999999999994,,,,
5_9,5,9,2023,44,5,5.0,2.94,4.0,0.0,6.6,12.296666666666665,10.780000000000001,87.47,10.132,322.352,0.0,58.8
5_9,5,9,2023,45,6,8.0,4.54,7.0,2.94,24.64,26.516666666666666,28.26,134.22,4.9662500000000005,324.4275,0.0,56.75
5_9,5,9,2023,46,7,20.0,12.19,19.0,4.54,26.84,28.726666666666663,44.6,106.75,10.3215,331.932,0.0,60.95
5_9,5,9,2023,47,8,6.0,4.46,6.0,12.19,13.74,13.0,81.25999999999999,52.61,21.80666666666667,339.585,0.0,74.33333333333333
5_9,5,9,2023,48,9,1.0,0.59,1.0,4.46,0.0,2.8000000000000003,24.880000000000003,1.2,14.8,307.6,0.0,59.0
6_0,6,0,2018,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,43,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,44,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,45,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,46,7,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,,,,
6_0,6,0,2018,47,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2018,48,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,43,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,44,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,45,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,
6_0,6,0,2019,46,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,47,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2019,48,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,43,4,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,,,,
6_0,6,0,2020,44,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,45,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,46,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,47,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2020,48,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2021,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2021,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2021,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,,,,
6_0,6,0,2021,43,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6_0,6,0,2021,44,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
