grid_id,year,week_of_season,fire_count,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fire_count,avg_frp,avg_brightness,night_fire_pct,avg_confidence
30_9,2021,8,1,26.0,0.0,3.0,4,8.7,315.3,0.0,61.0
30_9,2022,3,2,0.0,1.0,1.3333333333333333,34,7.965,339.04,0.0,60.0
30_9,2022,4,13,2.0,0.0,5.0,175,12.623846153846152,342.1869230769231,0.0,65.38461538461539
30_9,2022,5,29,13.0,5.0,20.0,392,9.379310344827585,337.31827586206896,0.0,62.241379310344826
30_9,2022,6,5,29.0,58.0,42.666666666666664,86,7.162000000000001,323.218,0.0,61.6
30_9,2023,1,2,0.0,0.0,1.0,11,8.21,336.36,0.0,60.0
30_9,2023,4,3,2.0,13.0,7.666666666666667,81,17.203333333333333,327.84666666666664,0.0,64.33333333333333
30_9,2023,5,11,3.0,29.0,26.0,162,9.328181818181818,333.1709090909091,0.0,62.72727272727273
30_9,2023,6,8,11.0,5.0,36.666666666666664,165,13.62875,327.47249999999997,0.0,64.875
30_9,2023,7,15,8.0,0.0,14.0,83,6.886,336.418,0.06666666666666667,65.4
31_0,2018,3,2,0.0,0.0,0.0,17,4.06,333.71500000000003,0.0,60.0
31_0,2018,4,5,2.0,0.0,0.0,22,4.246,324.748,0.0,57.2
31_0,2018,5,3,5.0,0.0,0.0,46,3.0933333333333337,332.58,0.0,60.0
31_0,2018,6,10,3.0,0.0,0.0,131,6.678999999999999,337.552,0.0,60.4
31_0,2018,7,9,10.0,0.0,0.0,61,4.964444444444444,337.3022222222222,0.0,60.0
31_0,2018,8,2,9.0,0.0,0.0,7,3.0749999999999997,333.47,0.0,60.0
31_0,2019,2,1,0.0,0.0,0.0,18,2.88,330.14,0.0,60.0
31_0,2019,4,1,1.0,5.0,5.0,18,8.2,315.6,0.0,65.0
31_0,2019,5,1,1.0,3.0,3.0,26,2.46,334.45,0.0,60.0
31_0,2019,6,10,1.0,10.0,10.0,62,7.579000000000001,329.033,0.0,60.1
31_0,2019,7,10,10.0,9.0,9.0,19,4.274,336.67199999999997,0.0,60.0
31_0,2019,8,5,10.0,2.0,2.0,12,6.894,317.83000000000004,0.0,60.0
31_0,2020,5,8,0.0,1.0,2.0,35,10.928749999999999,328.83,0.0,66.125
31_0,2020,6,12,8.0,10.0,10.0,111,9.763333333333334,341.4483333333333,0.0,63.666666666666664
31_0,2020,7,4,12.0,10.0,9.5,57,3.3249999999999997,333.9925,0.0,60.0
31_0,2020,8,2,4.0,5.0,3.5,6,3.79,332.9,0.0,60.0
31_0,2021,3,4,0.0,0.0,2.0,12,4.4825,335.3275,0.0,60.0
31_0,2021,4,5,4.0,0.0,3.0,63,5.28,338.08,0.0,60.0
31_0,2021,5,16,5.0,8.0,4.0,180,8.003125,334.31625,0.0,61.0
31_0,2021,6,8,16.0,12.0,10.666666666666666,72,8.585,338.765,0.0,64.0
31_0,2021,7,3,8.0,4.0,7.666666666666667,17,2.6233333333333335,336.72333333333336,0.0,60.0
31_0,2022,3,2,0.0,4.0,3.0,12,9.82,351.32,0.0,60.0
31_0,2022,4,1,2.0,5.0,3.6666666666666665,47,3.38,334.45,0.0,60.0
31_0,2022,5,4,1.0,16.0,8.333333333333334,41,3.4675,333.455,0.0,60.0
31_0,2022,6,5,4.0,8.0,10.0,16,3.316,334.36199999999997,0.0,60.0
31_0,2023,1,2,0.0,0.0,0.0,6,5.43,326.28,0.0,61.5
31_0,2023,5,2,2.0,4.0,9.333333333333334,20,2.5549999999999997,334.255,0.0,60.0
31_0,2023,6,1,2.0,5.0,8.333333333333334,21,5.65,335.12,0.0,60.0
31_0,2023,7,1,1.0,0.0,5.666666666666667,4,1.96,331.95,0.0,60.0
31_1,2018,2,4,0.0,0.0,0.0,56,6.9825,338.7525,0.0,60.0
31_1,2018,3,4,4.0,0.0,0.0,97,9.65,321.4425,0.0,58.0
31_1,2018,4,7,4.0,0.0,0.0,80,14.357142857142858,342.41857142857145,0.0,66.14285714285714
31_1,2018,5,7,7.0,0.0,0.0,76,4.717142857142856,334.8142857142857,0.0,60.0
31_1,2018,6,42,7.0,0.0,0.0,139,7.885714285714285,334.05261904761903,0.0,62.57142857142857
